都道府県,観光地,URL,yorokobi,ikari,takaburi,aware,suki,kowa,yasu,iya,odoroki,haji,SUM,カテゴリ
東京,絶対空間リアル密室脱出ゲーム,//www.jalan.net/kankou/spt_guide000000183022/kuchikomi/,24,3,9,2,9,5,12,24,7,2,97.0, エンタメ・アミューズメント
東京,京浜急行バス,//www.jalan.net/kankou/spt_guide000000192728/kuchikomi/,16,0,1,0,5,2,10,2,0,0,36.0, 乗り物
東京,赤坂サカス,//www.jalan.net/kankou/spt_guide000000178124/kuchikomi/,32,1,6,3,10,1,15,13,7,0,88.0, ミュージアム・ギャラリー
東京,白山神社（東京都文京区）,//www.jalan.net/kankou/spt_13105ag2130013334/kuchikomi/,8,0,2,1,4,0,6,6,1,0,28.0, 神社・神宮・寺院
東京,東京虎ノ門東急REIホテル,//www.jalan.net/kankou/spt_guide000000203680/kuchikomi/,16,0,2,4,7,2,11,10,3,0,55.0, レジャー・体験
東京,吉祥寺東急REIホテル,//www.jalan.net/kankou/spt_guide000000187405/kuchikomi/,31,3,3,2,8,4,14,17,2,0,84.0, レジャー・体験
東京,すずらん通り,//www.jalan.net/kankou/spt_13101aj2200026271/kuchikomi/,18,0,1,1,13,0,8,6,4,0,51.0, 観光施設・名所巡り
東京,相田みつを美術館,//www.jalan.net/kankou/spt_guide000000184073/kuchikomi/,14,1,7,7,6,2,11,13,2,1,64.0, ミュージアム・ギャラリー
東京,舎人公園,//www.jalan.net/kankou/spt_guide000000194002/kuchikomi/,17,0,1,1,5,0,10,2,2,0,38.0, アウトドア
東京,大國魂神社（東京都府中市）,//www.jalan.net/kankou/spt_13206ag2130009705/kuchikomi/,36,2,8,2,15,3,18,18,8,1,111.0, 神社・神宮・寺院
東京,名主の滝公園,//www.jalan.net/kankou/spt_guide000000195894/kuchikomi/,12,1,0,1,1,1,6,2,2,0,26.0, 観光施設・名所巡り
東京,三井記念美術館,//www.jalan.net/kankou/spt_13102ae3302041242/kuchikomi/,22,0,3,1,8,0,10,5,4,0,53.0, ミュージアム・ギャラリー
東京,コニカミノルタプラネタリウム“満天”in Sunshine City,//www.jalan.net/kankou/spt_13116cc3362013806/kuchikomi/,34,3,7,4,19,3,16,29,6,3,124.0, エンタメ・アミューズメント
東京,パレットタウン,//www.jalan.net/kankou/spt_13108cc3540060422/kuchikomi/,12,0,1,0,8,0,2,6,3,0,32.0, エンタメ・アミューズメント
東京,アークヒルズ,//www.jalan.net/kankou/spt_13103aj2200025536/kuchikomi/,23,0,2,2,6,0,9,7,3,0,52.0, その他
東京,吾妻橋,//www.jalan.net/kankou/spt_13107ae2190022869/kuchikomi/,22,1,5,0,12,3,8,16,3,0,70.0, 観光施設・名所巡り
東京,相鉄グランドフレッサ東京ベイ有明,//www.jalan.net/kankou/spt_guide000000186763/kuchikomi/,23,1,4,6,7,3,10,18,6,1,79.0, レジャー・体験
東京,都立神代植物公園,//www.jalan.net/kankou/spt_13208cc3310040049/kuchikomi/,25,1,4,2,8,0,13,13,5,0,71.0, 観光施設・名所巡り
東京,神田神社（神田明神）,//www.jalan.net/kankou/spt_13101ag2130012934/kuchikomi/,38,0,9,5,26,5,17,30,6,0,136.0, 神社・神宮・寺院
東京,ＪＲ上野駅,//www.jalan.net/kankou/spt_guide000000189390/kuchikomi/,15,1,5,1,8,2,5,6,4,1,48.0, その他
東京,岡本太郎記念館,//www.jalan.net/kankou/spt_13103cc3290032531/kuchikomi/,28,3,9,4,16,3,8,18,5,0,94.0, ミュージアム・ギャラリー
東京,東京おもちゃ美術館,//www.jalan.net/kankou/spt_13104ae3302046354/kuchikomi/,21,0,3,0,14,1,7,7,2,0,55.0, ミュージアム・ギャラリー
東京,小田急電鉄,//www.jalan.net/kankou/spt_guide000000185991/kuchikomi/,15,0,2,2,3,1,9,7,2,0,41.0, 乗り物
東京,JR水道橋駅,//www.jalan.net/kankou/spt_guide000000196621/kuchikomi/,5,0,0,1,2,0,1,3,1,0,13.0, 乗り物
東京,裏砂漠,//www.jalan.net/kankou/spt_13361ab2012062617/kuchikomi/,9,1,2,2,2,2,1,12,4,1,36.0, 自然景観・絶景
東京,両国国技館,//www.jalan.net/kankou/spt_alikejpB001035517/kuchikomi/,32,0,9,2,13,4,11,19,8,1,99.0, その他
東京,東京宝塚劇場,//www.jalan.net/kankou/spt_13101ae2190023085/kuchikomi/,22,1,9,1,9,5,8,22,7,0,84.0, ミュージアム・ギャラリー
東京,都立林試の森公園,//www.jalan.net/kankou/spt_13110ah3332019101/kuchikomi/,29,0,1,2,6,1,8,6,3,0,56.0, 観光施設・名所巡り
東京,底土海水浴場,//www.jalan.net/kankou/spt_13401cb3490146646/kuchikomi/,22,0,2,0,5,0,10,3,2,1,45.0, 自然景観・絶景
東京,東京港野鳥公園,//www.jalan.net/kankou/spt_13111ah3330043649/kuchikomi/,17,0,2,0,3,1,10,1,3,0,37.0, 観光施設・名所巡り
東京,鬼太郎茶屋,//www.jalan.net/kankou/spt_13208ga3552013816/kuchikomi/,32,0,3,3,15,0,10,13,4,0,80.0, ショッピング
東京,ヨドバシカメラ西口本店,//www.jalan.net/kankou/spt_guide000000151639/kuchikomi/,27,1,4,5,12,4,10,14,3,1,81.0, ショッピング
東京,おふろの王様（大井町店）,//www.jalan.net/kankou/spt_guide000000188546/kuchikomi/,16,1,1,1,3,2,10,10,1,1,46.0, 風呂・スパ・サロン
東京,神田古書店街,//www.jalan.net/kankou/spt_13101ga3550085677/kuchikomi/,26,0,6,1,16,2,13,20,4,0,88.0, ショッピング
東京,多摩川,//www.jalan.net/kankou/spt_13227cb3530116378/kuchikomi/,37,1,2,5,12,3,20,12,7,0,99.0, レジャー・体験
東京,東京カテドラル聖マリア大聖堂,//www.jalan.net/kankou/spt_13105ae2190022786/kuchikomi/,18,1,4,2,13,4,11,8,6,0,67.0, 観光施設・名所巡り
東京,東京サマーランド,//www.jalan.net/kankou/spt_13228cc3540060195/kuchikomi/,36,4,8,6,8,6,16,32,8,3,127.0, エンタメ・アミューズメント
東京,大神山神社（東京都小笠原村）,//www.jalan.net/kankou/spt_13421ag2132056562/kuchikomi/,7,1,0,1,2,0,6,4,3,0,24.0, 神社・神宮・寺院
東京,東武博物館,//www.jalan.net/kankou/spt_13107cc3290032814/kuchikomi/,19,1,4,0,8,0,6,8,3,1,50.0, ミュージアム・ギャラリー
東京,奥多摩湖,//www.jalan.net/kankou/spt_13308ab2030004436/kuchikomi/,26,0,5,4,7,3,11,11,7,0,74.0, 自然景観・絶景
東京,京橋エドグラン,//www.jalan.net/kankou/spt_guide000000186341/kuchikomi/,13,0,0,0,6,1,6,6,1,0,33.0, その他
東京,阿佐ヶ谷神明宮,//www.jalan.net/kankou/spt_guide000000186206/kuchikomi/,10,0,4,1,6,0,7,1,2,0,31.0, 神社・神宮・寺院
東京,東京工芸大学　杉並アニメーションミュージアム,//www.jalan.net/kankou/spt_13115ae3292068864/kuchikomi/,9,0,1,0,4,0,3,1,0,0,18.0, ミュージアム・ギャラリー
東京,東京芸術劇場,//www.jalan.net/kankou/spt_guide000000151587/kuchikomi/,22,0,3,1,8,2,10,7,1,0,54.0, ミュージアム・ギャラリー
東京,国立国会図書館,//www.jalan.net/kankou/spt_13101cc3290030105/kuchikomi/,27,2,11,2,14,2,14,21,12,4,109.0, ミュージアム・ギャラリー
東京,すみだ水族館,//www.jalan.net/kankou/spt_guide000000179688/kuchikomi/,51,1,11,4,33,2,26,36,9,0,173.0, 観光施設・名所巡り
東京,日本銀行,//www.jalan.net/kankou/spt_13102ae2180022294/kuchikomi/,10,0,4,1,2,1,1,6,4,0,29.0, 観光施設・名所巡り
東京,田園調布,//www.jalan.net/kankou/spt_13111ad2150016798/kuchikomi/,24,0,5,2,14,2,11,11,8,1,78.0, 自然景観・絶景
東京,都立武蔵国分寺公園,//www.jalan.net/kankou/spt_13214ah3332099442/kuchikomi/,12,0,0,0,2,1,4,1,1,0,21.0, 観光施設・名所巡り
東京,京王フローラルガーデンアンジェ,//www.jalan.net/kankou/spt_13208cc3540155613/kuchikomi/,12,0,1,2,5,2,6,12,4,0,44.0, エンタメ・アミューズメント
東京,コニカミノルタプラネタリウム“天空”in 東京スカイツリータウン（R）,//www.jalan.net/kankou/spt_guide000000179700/kuchikomi/,19,1,4,7,6,2,12,19,5,0,75.0, エンタメ・アミューズメント
東京,インターメディアテク,//www.jalan.net/kankou/spt_guide000000191430/kuchikomi/,13,0,0,0,4,2,3,2,3,0,27.0, ミュージアム・ギャラリー
東京,ニコライ堂,//www.jalan.net/kankou/spt_13101ae2180021272/kuchikomi/,8,0,4,2,8,0,6,8,4,0,40.0, 観光施設・名所巡り
