"Place_Name","Place_ID","user_ratings_total","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","wikipedia2VecVocab","wikipedia2VecVocabKouho"
"21_21 DESIGN SIGHT","ChIJV4H0Nn-LGGAR2g7_9Kourf4","2531","1","5","1","0","5","5","27","1","5","3","ENTITY/21_21 DESIGN SIGHT",""
"Wine Shop Sommelier","ChIJaUEw5XeLGGARirrLUJr6v2c","490","1","6","0","1","5","1","8","0","3","5","ENTITY/Wine Shop Sommelier",""
"Taro Okamoto Memorial Museum","ChIJJbavS2GLGGARFLUeTte2lt0","1487","5","12","5","5","8","14","22","6","11","6","ENTITY/Taro Okamoto Memorial Museum",""
"Watarium Art Museum","ChIJXf9Z6JiMGGARRZ0zg4fFgLU","735","1","12","0","0","8","5","18","5","9","2","ENTITY/Watarium Art Museum",""
"TEPIA Advanced Technology Gallery","ChIJL6t-1JuMGGARxviRyLV_l7M","458","2","7","0","1","7","2","15","0","3","10","ENTITY/TEPIA Advanced Technology Gallery",""
"Reinanzaka Church","ChIJhUq-rJqLGGARvfm2U3mDSi8","88","0","16","1","0","21","4","27","3","2","19","ENTITY/Reinanzaka Church",""
"HARAJUKU PROTESTANT CHURCH","ChIJmxQp3piMGGARC7Dcs_AGNLw","32","0","5","1","0","8","0","12","2","1","7","ENTITY/HARAJUKU PROTESTANT CHURCH",""
"Kikuchi Kanjitsu Memorial Tomo Museum","ChIJ3RlOVJCLGGARB3R2XWU5FtE","353","1","12","2","1","19","7","35","10","9","8","ENTITY/Kikuchi Kanjitsu Memorial Tomo Museum",""
"Beni Museum","ChIJ1ZCFSWSLGGARpUEUiKoCxLo","150","2","5","1","2","5","12","25","2","4","12","ENTITY/Beni Museum",""
"Entsuji","ChIJ80H9BoCLGGAR6H1LryVGdWU","38","0","1","1","2","4","3","7","1","1","4","entsuji",""
"Honda Welcome Plaza Aoyama","ChIJ6ZZ5DoOMGGAR05jTAq9xqVQ","2880","1","4","2","0","4","7","12","1","0","8","ENTITY/Honda Welcome Plaza Aoyama",""
"STRIPED HOUSE GALLERY","ChIJd6PjkJ2LGGAR1mUOYtcqmDI","82","0","5","0","1","1","0","6","0","2","1","ENTITY/STRIPED HOUSE GALLERY",""
"Suntory Museum Of Art","ChIJbSqxxHiLGGARKEK0IzZMksI","2329","2","2","0","1","4","8","18","5","3","3","ENTITY/Suntory Museum of Art",""
"Tokyo Midtown Design Hub","ChIJVVVVwXiLGGARdfqsI40Y-u8","241","0","1","0","0","0","0","11","0","0","2","ENTITY/Tokyo Midtown Design Hub",""
"Mohri Garden","ChIJKwbstHeLGGARxzy-ttu57CM","1368","2","9","2","1","13","3","23","1","6","9","ENTITY/Mohri Garden",""
"Roppongi Hills","ChIJM9xJEHeLGGARAshMWUgC_ls","36103","2","15","1","2","19","5","30","4","10","8","ENTITY/Roppongi Hills",""
"Myōzenji Temple","ChIJz3y1NneLGGARwPRxEIn8viE","85","0","6","0","3","4","2","16","2","1","3","ENTITY/Myōzenji Temple",""
"Takahashi Korekiyo Memorial Park","ChIJN-aSBYGMGGARV4hamU-HF9I","467","1","3","2","0","4","5","12","3","1","6","ENTITY/Takahashi Korekiyo Memorial Park",""
"Treasure Hall Of Nogi","ChIJTR-RYH6LGGARnwqqNfwiddE","24","5","7","2","9","7","9","17","8","5","7","ENTITY/Treasure Hall Of Nogi",""
"Midtown Garden","ChIJx0V7jrqLGGAR_VT5Fj3yNZ8","470","2","9","2","0","14","2","22","3","10","13","ENTITY/Midtown Garden",""
"Nogi Park","ChIJk1Vhhn6LGGARl0MVL-KexZQ","138","0","2","0","1","3","3","19","5","1","2","ENTITY/Nogi Park",""
"Hinokicho Park","ChIJqcU4DIKLGGARBxWj4fGnB_k","1955","0","11","0","0","12","0","17","1","4","11","ENTITY/Hinokicho Park",""
"Hodoji","ChIJOV0HO4CLGGARIRBcJmeA19s","45","1","5","1","10","7","11","18","10","4","7","ENTITY/Hodoji",""
"Hitotsugi Park","ChIJKTY1SoCLGGAR1ODjP4rZwPE","114","1","4","1","1","3","5","3","2","3","3","ENTITY/Hitotsugi Park",""
"Sanpun Zaka","ChIJR2WgSICLGGARDaal6un4-dg","41","3","7","1","3","4","7","18","4","2","9","ENTITY/Sanpun Zaka",""
"Former Site Of The House Of Kaishu Katsu","ChIJ62EneYGLGGARy3pBngNNGqA","96","0","2","0","2","2","2","5","3","2","3","ENTITY/Former Site Of The House Of Kaishu Katsu",""
"Aoba Park","ChIJoxynW4KMGGARTvUBjheB7Ts","229","0","5","0","0","8","2","11","2","4","5","ENTITY/Aoba Park",""
"Motohikawa Zaka","ChIJay28x4OLGGARqfWZzc_uxus","24","0","3","1","2","3","2","11","0","0","3","ENTITY/Motohikawa Zaka",""
"Roppongi West Park","ChIJpWTtOXiLGGARheMngAQjX5g","260","0","4","0","0","5","2","6","0","2","3","ENTITY/Roppongi West Park",""
"Ruins Of Takanawa Ōkido Gate","ChIJCVfWNq2LGGARvuAHzNroBTc","110","5","3","2","3","5","7","15","2","2","9","ENTITY/Ruins Of Takanawa Ōkido Gate",""
"Site Of The Seppuku (Ritualistic Execution) Of Oishi Yoshitaka And The Other 16 Akougishi (Akou Roshi) Samurai","ChIJt8JMCKmLGGAROamwk0o7_-o","77","3","5","3","8","5","18","19","5","6","18","ENTITY/Site Of The Seppuku (Ritualistic Execution) Of Oishi Yoshitaka And The Other 16 Akougishi (Akou Roshi) Samurai",""
"Sengaku Ji","ChIJh64KT6uLGGARKx4cxgOaL54","3306","2","10","1","6","9","9","22","5","2","16","ENTITY/Sengaku Ji",""
"Koyasan Tokyo Betsuin","ChIJ4Y-GGVWKGGARAHFc8A6VDf0","758","1","3","2","2","4","3","18","2","2","7","ENTITY/Koyasan Tokyo Betsuin",""
"Mita Hachiman Shrine","ChIJX_Qh8q2LGGARghTq3Di6f8g","370","1","17","1","8","15","2","26","2","11","15","ENTITY/Mita Hachiman Shrine",""
"Hatakeyama Memorial Museum Of Fine Art","ChIJZQpgdf6KGGARXCH1FGs07t0","170","2","5","1","2","11","6","16","5","6","7","ENTITY/Hatakeyama Memorial Museum of Fine Art",""
"Gyoranji","ChIJHZxnrK6LGGAR0d63CW4NM5M","94","5","20","2","4","11","5","29","2","8","27","ENTITY/Gyoranji",""
"Hoanji Temple","ChIJCWZucKuLGGARTJ16cpGhJ3k","23","0","8","1","0","10","6","20","2","3","15","ENTITY/Hoanji Temple",""
"Takamatsu Kusunoki Park","ChIJKXMIRamLGGARDlEnzmXhxqM","74","0","6","0","1","6","2","9","0","4","4","ENTITY/Takamatsu Kusunoki Park",""
"Museum Of Logistics","ChIJ_wDxK1aKGGARvv10tNDypZs","314","0","4","0","0","3","0","9","0","2","5","ENTITY/Museum Of Logistics",""
"Takanawa Mori No Park","ChIJeX5U41aKGGARpQJCQQWMQrE","106","1","5","2","0","6","4","7","2","2","4","ENTITY/Takanawa Mori No Park",""
"Azabu Kokubisui Hot Spring Takenoyu","ChIJP8qx4KCLGGARrA6QxMdha0E","756","5","9","1","2","7","10","30","4","3","14","ENTITY/Azabu Kokubisui Hot Spring Takenoyu",""
"Shirokane Hikawa Shrine","ChIJWXpokgeLGGARRc7Blgtb41Y","315","1","5","1","2","5","3","13","1","2","5","ENTITY/Shirokane Hikawa Shrine",""
"Maxell Aqua Park Shinagawa","ChIJC1aZZFeKGGARGLX8IHTOn-c","15691","5","20","4","7","33","9","70","5","28","47","ENTITY/Maxell Aqua Park Shinagawa",""
"Tōzenji Temple","ChIJlaWyUFSKGGARjGBTT9eQH-M","116","2","2","3","1","9","8","21","2","3","13","ENTITY/Tōzenji Temple",""
"Yanagi No Ido Well","ChIJtxFmRqCLGGARP4T9Fd6pCUk","26","17","15","10","8","14","21","35","8","11","22","ENTITY/Yanagi No Ido Well",""
"Shibaura Chuo Park","ChIJgYTYlk6KGGAR24EkOo5CfeU","594","1","10","0","3","10","8","18","2","4","13","ENTITY/Shibaura Chuo Park",""
"Zuishō Ji","ChIJ11c1XwGLGGARw7yjtmaO3HA","191","0","10","0","1","9","4","18","2","5","10","ENTITY/Zuishō Ji",""
"Takanawa Shrine","ChIJl-1sm1OKGGARKF7IMwZLpYk","493","1","0","0","0","1","6","6","1","2","0","ENTITY/Takanawa Shrine",""
"Daizōji Temple","ChIJO-TOZ66LGGARv-Oet9rkVi4","64","0","6","0","1","3","4","11","2","3","7","ENTITY/Daizōji Temple",""
"The History Museum Of J Koreans","ChIJ6QCZVaGLGGAR9QS6CROQGvA","116","1","2","2","2","3","4","13","4","1","5","ENTITY/The History Museum Of J Koreans",""
"Trinity Shibaura Green Space","ChIJOXTkaEuKGGARCPXwDjBxdY8","45","1","2","0","0","6","1","10","0","1","5","ENTITY/Trinity Shibaura Green Space",""
"Mitadai Park","ChIJAcBBLqyLGGARuADg9RGme-E","171","1","2","1","1","5","1","6","0","2","3","ENTITY/Mitadai Park",""
"Sengakuji Children'S Playground","ChIJoV9gUFOKGGARtdGqsuW_2GU","50","0","4","0","1","5","1","8","0","3","4","ENTITY/Sengakuji Children'S Playground",""
"Takamatsu Children'S Playground","ChIJ5wpfSaqLGGAR6q8ks2I980Y","29","3","5","0","1","3","2","7","0","2","5","ENTITY/Takamatsu Children'S Playground",""
"Head Washing Well","ChIJsYMRTauLGGARM4SwXVL4N4w","23","5","5","4","16","4","20","22","13","4","6","ENTITY/Head Washing Well",""
"Grave Of Oishi Kuranosuke","ChIJVz-cNauLGGARqP4z7F-0dyM","39","3","5","1","6","10","6","16","5","2","9","ENTITY/Grave Of Oishi Kuranosuke",""
"Genwa Christian Heritage","ChIJ34OL7a2LGGARoErdIT0622I","30","7","8","1","6","2","11","16","5","4","7","ENTITY/Genwa Christian Heritage",""
"Genshōji Temple","ChIJXxK3dqqLGGAR3Vw9RQ5Lyy4","24","1","5","1","6","4","7","13","6","2","6","ENTITY/Genshōji Temple",""
"Shirokane Shida Cho Children'S Park","ChIJVZ_lhqiLGGARYb6sZIBbc8o","39","0","7","2","0","7","7","14","0","3","3","ENTITY/Shirokane Shida Cho Children'S Park",""
"Hakutaka Children'S Playground","ChIJUeCOcaiLGGARyxxiFLKq7vI","38","0","7","1","0","7","5","11","0","4","4","ENTITY/Hakutaka Children'S Playground",""
"Sankouzaka","ChIJGyeOGqGLGGARGL5jUTXneT0","34","3","7","5","2","4","8","9","6","3","6","ENTITY/Sankouzaka",""
"Shinfurukawa Bridge","ChIJjSVGvKeLGGARlNfb8wPMG08","26","0","2","0","6","2","1","13","1","0","9","ENTITY/Shinfurukawa Bridge",""
"Takanawa Park","ChIJG5biIlSKGGAR8WaSxLR3gBM","231","2","4","1","0","4","3","7","1","4","6","ENTITY/Takanawa Park",""
"Shirokane Park","ChIJA30KCQmLGGARkIlnntrSxOA","146","2","2","1","1","3","4","4","1","3","2","ENTITY/Shirokane Park",""
"Minamiazabu Shinbori Children'S Playground","ChIJF_EuXAqLGGARwnMrIR9Sgws","33","4","3","0","2","3","8","8","1","1","4","ENTITY/Minamiazabu Shinbori Children'S Playground",""
"Site Of Mizuno Kenmotsu'S Residence","ChIJ4dFsMLGLGGAR555X2dEqv7c","27","17","14","7","17","12","24","45","9","13","24","ENTITY/Site Of Mizuno Kenmotsu'S Residence",""
"Nagisabashi","ChIJWa4gq2-LGGAR-nOw2_MDMC4","20","0","3","0","1","1","0","7","1","2","4","ENTITY/Nagisabashi",""
"Fuji Television Network, Inc.","ChIJQQ6UsPeJGGAR3LFE4U43_NQ","9908","1","17","0","1","12","8","54","2","9","19","ENTITY/Fuji Television Network, Inc.",""
"Tokyo Joypolis","ChIJuTdPXvaJGGARJhT_Ai6urFQ","6087","4","40","3","12","21","13","54","5","17","15","ENTITY/Tokyo Joypolis",""
"Rainbow Bridge","ChIJbWVFlTCKGGARr5l6ox-7_CA","3248","0","11","0","0","14","2","30","0","10","11","ENTITY/Rainbow Bridge (Tokyo)",""
"Daiba Park","ChIJ9aeqHiCKGGARFh-fljrxUT0","957","10","12","0","7","15","12","30","4","5","15","ENTITY/Daiba Park",""
"Amphibious Bus By Tokyo Ducktour® Splash Point","ChIJCwgzFByKGGARzfk2Ebjwel4","27","2","17","1","7","6","10","28","6","12","16","ENTITY/Amphibious Bus By Tokyo Ducktour® Splash Point",""
"Odaiba Marine Park","ChIJ18IK6x2KGGARKTc2yLS-030","13222","0","7","0","0","11","0","11","0","3","7","ENTITY/Odaiba Marine Park",""
"Fuji Television Headquarters “HACHITAMA” Spherical Observation Room","ChIJb2CosfeJGGAR_TIVIcsMyK4","312","0","4","0","1","5","2","17","1","3","7","ENTITY/Fuji Television Headquarters “HACHITAMA” Spherical Observation Room",""
"Odaiba Rainbow Park","ChIJx5hUh_OJGGART6Fognv9_Mk","324","0","12","0","0","9","0","15","1","5","6","ENTITY/Odaiba Rainbow Park",""
"Teleport Bridge","ChIJic5uxPCJGGARHFHBqjf1nXo","34","0","0","0","1","2","1","4","1","0","3","ENTITY/Teleport Bridge",""
"Kōnan Ryokusui Park","ChIJ-8hsv0CKGGARdmQp1_mXgw0","575","0","12","1","0","11","0","19","1","8","12","ENTITY/Kōnan Ryokusui Park",""
"Site Of Explosives Storage","ChIJhy8XBlaLGGAR_O8PEA4d-Xk","28","7","12","0","8","1","11","25","1","2","4","ENTITY/Site Of Explosives Storage",""
"Rainbow Bridge Promenade","ChIJWTDPE46JGGAR6A1n9w_xfxM","373","5","17","1","7","11","9","29","4","9","11","ENTITY/Rainbow Bridge Promenade",""
"Statue Of Liberty","ChIJp_dRJOOLGGARo5GGDjBnfrw","2300","1","10","0","2","11","5","22","0","8","10","ENTITY/Statue Of Liberty",""
"Love Sign Odaiba","ChIJFeU3GJGLGGAR2yzNv6jUsfM","51","0","2","0","0","1","0","4","0","2","1","ENTITY/Love Sign Odaiba",""
"Aqua City Odaiba Shrine","ChIJxWsRPPaJGGARLOOHJSxNf_k","80","3","10","0","0","6","4","12","1","3","10","ENTITY/Aqua City Odaiba Shrine",""
"Rainbow Promenade","ChIJafp9aA-JGGARIZ4yrRBA9_Y","43","0","0","0","0","0","0","0","0","0","0","ENTITY/Rainbow Promenade",""
"Shinagawa Kita Port Park","ChIJDd782D6KGGARU87YemLM-IE","86","2","4","3","2","6","5","12","0","0","4","ENTITY/Shinagawa Kita Port Park",""
"FCG Bldg.","ChIJw3qKQduJGGARWr0DnXUAjV8","125","2","3","0","1","2","5","7","0","1","0","ENTITY/FCG Bldg.",""
"Konano Bridge","ChIJ4xSTRtqLGGARxvUO49Gvf-s","32","2","3","1","3","5","2","9","3","1","6","ENTITY/Konano Bridge",""
"Kawasaki Robostage","ChIJy7jAHPeJGGARj9nEku7az9s","228","0","6","0","1","5","1","12","0","4","5","ENTITY/Kawasaki Robostage",""
"Bay Breeze Garden","ChIJ32AffUeKGGARD6Ni9J2YWl0","58","0","2","0","0","3","1","5","0","1","1","ENTITY/Bay Breeze Garden",""
